timestamp,rpm,speed,coolant_temp,intake_air_temp,throttle,engine_load,maf,map_kpa,ambient_temp,fuel_level,voltage,scenario
0.0,774.5,0,24.9,31.6,2.1,11.6,1.97,32.3,27.5,85.0,13.91,idle
0.2,738.7,0,25.5,31.2,1.5,12.5,1.23,29.9,27.4,85.0,14.01,idle
0.4,750.2,0,25.0,30.8,1.8,11.6,1.32,33.4,27.5,85.0,14.16,idle
0.6,744.9,0.4,24.6,31.0,2.2,12.3,1.47,31.0,27.5,85.0,13.91,idle
0.8,738.0,0,24.8,31.2,2.0,12.9,1.81,32.2,27.4,85.0,14.07,idle
1.0,723.8,0.4,25.2,31.0,2.5,14.0,1.48,32.4,27.5,85.0,14.07,idle
1.2,748.6,0.0,25.0,31.5,2.5,11.6,1.53,29.9,27.4,85.0,14.3,idle
1.4,745.2,0,24.9,31.2,2.0,12.8,1.53,32.7,27.5,85.0,13.92,idle
1.6,738.0,0,25.1,31.5,2.6,11.4,1.4,31.0,27.5,85.0,14.38,idle
1.8,737.4,0.0,25.1,30.7,2.7,15.7,1.44,32.0,27.6,85.0,14.23,idle
2.0,721.8,0.3,25.2,31.1,2.3,15.3,1.2,31.0,27.4,85.0,13.69,idle
2.2,764.6,0,25.2,32.0,2.6,11.5,1.74,30.5,27.5,85.0,13.68,idle
2.4,719.6,0.3,25.0,31.4,2.5,12.4,1.58,32.2,27.7,85.0,14.06,idle
2.6,747.6,0,25.5,31.5,3.3,13.2,1.85,31.1,27.5,85.0,14.16,idle
2.8,724.8,0,25.2,32.1,3.2,12.5,1.58,32.5,27.5,85.0,13.95,idle
3.0,743.2,0,24.9,30.6,2.5,13.1,1.64,31.5,27.5,85.0,13.91,idle
3.2,744.0,0,25.3,31.6,2.4,12.2,1.52,30.3,27.3,85.0,14.22,idle
3.4,748.6,0.3,25.5,31.6,2.3,17.8,1.67,32.6,27.4,85.0,13.94,idle
3.6,742.1,1.2,25.1,31.9,1.9,9.2,1.71,29.9,27.4,85.0,14.01,idle
3.8,743.4,0.0,24.6,31.4,2.8,11.0,2.14,32.4,27.4,85.0,13.87,idle
4.0,755.6,0,25.8,31.5,2.8,11.5,1.36,31.1,27.7,85.0,13.75,idle
4.2,732.5,0.6,25.0,31.3,2.4,10.9,1.63,32.7,27.5,85.0,13.35,idle
4.4,723.7,0,25.6,31.3,2.5,12.2,1.93,30.2,27.5,85.0,13.8,idle
4.6,740.1,0.1,25.9,30.3,2.4,13.0,1.98,30.3,27.5,85.0,13.97,idle
4.8,738.5,0,25.6,31.5,2.4,13.3,1.61,30.9,27.4,85.0,14.16,idle
5.0,757.4,0,25.5,31.2,2.6,12.2,1.88,31.0,27.6,85.0,13.96,idle
5.2,752.1,0.3,25.4,31.6,3.2,11.5,1.6,31.7,27.4,85.0,13.84,idle
5.4,766.3,0.3,25.4,31.0,2.2,12.9,1.5,30.7,27.4,85.0,14.2,idle
5.6,746.5,0,25.2,31.4,1.9,12.4,1.57,31.1,27.4,85.0,13.71,idle
5.8,777.2,0.4,25.4,31.2,2.1,11.8,1.49,30.6,27.5,85.0,14.06,idle
6.0,760.2,0.3,25.4,30.9,2.9,11.4,1.57,32.0,27.6,85.0,14.0,idle
6.2,747.5,0.4,25.1,31.0,2.7,12.3,2.16,31.2,27.4,85.0,13.58,idle
6.4,786.9,0.5,25.0,32.2,2.6,11.1,1.23,32.4,27.3,85.0,14.24,idle
6.6,775.9,0,25.3,31.6,2.9,11.1,1.5,32.1,27.5,85.0,13.79,idle
6.8,741.4,0,25.9,31.4,2.9,13.9,1.6,31.3,27.7,85.0,14.24,idle
7.0,771.2,0.3,25.8,30.4,2.5,14.1,1.21,32.9,27.5,85.0,13.76,idle
7.2,760.6,0.8,25.6,31.3,3.0,9.9,0.99,32.0,27.4,85.0,13.59,idle
7.4,745.1,0,25.2,31.6,2.7,10.4,1.48,33.0,27.5,85.0,13.89,idle
7.6,738.7,1.0,25.4,31.2,2.7,12.1,1.29,31.9,27.4,85.0,14.12,idle
7.8,720.6,0,25.7,31.5,2.7,14.1,1.99,31.4,27.5,85.0,14.62,idle
8.0,753.6,0,26.0,31.8,2.6,9.9,1.31,30.4,27.5,85.0,14.0,idle
